[(2225, 5221), (2266, 5204), (2335, 5170), (2369, 5153), (2390, 5119), (2507, 5085), (2569, 5009)]
[(2376, 4278), (2452, 4355), (2459, 4355), (2521, 4355), (2569, 4355), (2617, 4397), (2651, 4448)]
[(3214, 4066), (3228, 4151), (3207, 4253), (3207, 4253), (3228, 4338), (3235, 4372), (3201, 4448)]
[(4128, 4066), (4128, 4109), (4121, 4211), (4100, 4253), (4114, 4338), (4142, 4423), (4142, 4533)]
[(5055, 4117), (5055, 4134), (5042, 4228), (5035, 4253), (5028, 4329), (5028, 4406), (5069, 4491)]
[(5694, 4075), (5680, 4143), (5701, 4270), (5708, 4278), (5742, 4321), (5742, 4414), (5783, 4516)]
[(6148, 3761), (6216, 3837), (6223, 3862), (6271, 3854), (6299, 3837), (6340, 3837), (6409, 3828)]
[(5914, 3200), (5969, 3124), (6038, 3098), (6120, 3073), (6168, 3047), (6216, 3039), (6299, 3013), (6347, 3005)]
[(5536, 2682), (5509, 2725), (5495, 2767), (5440, 2818), (5433, 2818), (5433, 2852), (5419, 2988)]
[(4884, 2640), (4849, 2674), (4835, 2725), (4808, 2742), (4787, 2793), (4746, 2818), (4691, 2878)]
[(4313, 2088), (4368, 2071), (4382, 2063), (4499, 2105), (4513, 2105), (4568, 2097), (4664, 2130)]
[(4643, 1358), (4671, 1358), (4760, 1400), (4801, 1460), (4849, 1502), (4884, 1528), (4945, 1587)]
[(5770, 1256), (5770, 1290), (5770, 1366), (5770, 1434), (5770, 1477), (5756, 1553), (5756, 1604)]
[(6525, 1205), (6532, 1375), (6532, 1400), (6532, 1485), (6532, 1596), (6532, 1630), (6560, 1731)]
[(7357, 1239), (7336, 1298), (7322, 1417), (7281, 1519), (7274, 1570), (7253, 1689), (7267, 1757)]
[(7590, 2181), (7666, 2122), (7700, 2105), (7748, 2105), (7796, 2088), (7872, 2071), (7714, 2122)]
[(7363, 3098), (7480, 3107), (7501, 3107), (7624, 3141), (7693, 3158), (7776, 3141), (7858, 3115)]
[(7363, 4304), (7411, 4304), (7487, 4287), (7631, 4321), (7686, 4338), (7769, 4321), (7844, 4295)]
[(7418, 5399), (7473, 5391), (7542, 5374), (7604, 5348), (7693, 5340), (7837, 5323), (7844, 5323)]
[(7521, 6443), (7563, 6443), (7624, 6443), (7727, 6435), (7782, 6435), (7872, 6443), (7927, 6435)]
[(7879, 7157), (7913, 7148), (7954, 7089), (7975, 7080), (8023, 7046), (8050, 6987), (8092, 6885)]
[(8689, 6792), (8723, 6800), (8717, 6885), (8717, 6944), (8772, 6978), (8778, 6995), (8820, 7046)]
[(8978, 6189), (9039, 6248), (9088, 6265), (9163, 6248), (9246, 6240), (9294, 6223), (9369, 6223)]
[(8868, 5153), (8881, 5144), (9005, 5136), (9033, 5136), (9156, 5144), (9218, 5127), (9355, 5127)]
[(8813, 4024), (8888, 4007), (8964, 4007), (9026, 4041), (9101, 4049), (9170, 4058), (9287, 4058)]
[(8881, 3294), (8902, 3294), (9033, 3285), (9184, 3302), (9225, 3302), (9369, 3302), (9184, 3311)]
[(8772, 2258), (8833, 2258), (8916, 2300), (8964, 2309), (9046, 2309), (9115, 2317), (9307, 2309)]
[(8744, 1698), (8820, 1698), (8930, 1681), (9019, 1689), (9149, 1698), (9266, 1706), (9349, 1689)]
